References,Value,Footprint,manf#,Quantity
"C206, C209, C212, C224, C225, C226, C227, C228, C229, C306, C309, C312, C324, C325, C326, C327, C328, C329, C501, C502, C517, C518",4.7uF,C_1210_3225Metric,12101C475K4T2A,22
"C103, C117, C123, C202, C205, C211, C213, C216, C217, C220, C302, C305, C311, C313, C316, C317, C320, C401, C413, C532",100nF,C_0805_2012Metric,C0805C104K5RACTU,20
"C106, C119, C207, C208, C215, C221, C307, C308, C315, C321, C411, C412, C531, C533",20pF,C_0805_2012Metric,CC0805JRNPO9BN200,14
"C101, C102, C124, C201, C204, C214, C301, C304, C314, C410",100nF,C_1206_3216Metric,C1206C104K5RAC7867,10
"C218, C318, C515, C522, C523, C524, C526, C530",10uF,C_1210_3225Metric,12105C106KAT2A,8
"C219, C319, C507, C509, C525, C527, C528, C529",1uF,C_0805_2012Metric,UMK212B7105KGHT ,8
"C230, C231, C330, C331",33uF,CP_Elec_10x10.5,ULT2C330MNL1GS,4
"C210, C310, C505",1nF,C_0805_2012Metric,CL21C102JCFNNNE,3
"C203, C303",47uF ,CP_Elec_10x10.5,EEE-FN2A470UL,2
"C222, C322",1nF ,C_0805_2012Metric,CL21B102KECSFNC,2
"C223, C323",100nF,C_1210_3225Metric,C1210C104M2RACTU,2
"C402, C503",10nF,C_0805_2012Metric,CL21B103KBANNND,2
"C510, C516",6.8nF,C_0805_2012Metric,0805B682K631CT,2
"C512, C513",2.2nF,C_1812_4532Metric,8853622110151,2
"C519, C520",470nF,C_0805_2012Metric,GRM21BR72A474KA73L,2
C504,22nF,C_0805_2012Metric,CL21B223KBANNWC,1
C506,100pF,C_0805_2012Metric,CL21C101JBANNNC,1
C508,100nF,C_0805_2012Metric,C2012X7T2E104M125AA,1
C511,100pF ,C_1206_3216Metric,885342008009,1
C514,1nF ,C_0805_2012Metric,885342207013,1
C521,100uF,CP_Elec_6.3x7.7,EEE-FKE101XAP,1
"R409, R411, R412, R413, R414, R415, R416, R417, R418, R419, R420",4.7k,R_0805_2012Metric,CR0805-FX-4701ELF,11
"R111, R115, R207, R218, R222, R307, R318, R322, R406, R407",20k,R_0805_2012Metric,CR0805-FX-2002ELF,10
"R204, R205, R224, R226, R304, R305, R324, R326",51R,R_0805_2012Metric,CR0805-FX-51R0ELF ,8
"R103, R104, R208, R209, R308, R309, R518",27k,R_0805_2012Metric,CR0805-FX-2702ELF,7
"R105, R107, R210, R213, R310, R313, R521",12k,R_0805_2012Metric,CR0805-FX-1202ELF,7
"R214, R215, R216, R314, R315, R316, R505",2.2R,R_0805_2012Metric,CR0805AF/-2R20EAS,7
"R110, R116, R217, R223, R317, R323",5.9k,R_0805_2012Metric,CR0805-FX-5901ELF,6
"R219, R220, R225, R319, R320, R325",1k,R_0805_2012Metric,CR0805-FX-1001ELF,6
"R201, R206, R301, R306",1M,R_0805_2012Metric,CR0805-FX-1004ELF,4
"R203, R303, R506",470R,R_0805_2012Metric,CR0805-FX-4700ELF,3
"R401, R408, R410",120R,R_0805_2012Metric,CR0805-FX-1200ELF,3
"R504, R512, R514",1.4k,R_0805_2012Metric,RC0805FR-071K4L,3
"R507, R511, R516",10R,R_0805_2012Metric,CR0805-FX-10R0ELF ,3
"R202, R302",150k,R_0805_2012Metric,CR0805-FX-1503ELF,2
"R402, R404",330R,R_0805_2012Metric,CR0805-FX-3300ELF,2
"R403, R405",3k,R_0805_2012Metric,CRCW08053K00FKEA,2
"R508, R515",10k,R_0805_2012Metric,CRT0805-FZ-1002ELF,2
R117,330k,R_0805_2012Metric,CR0805-FX-3303ELF,1
R118,5.6k,R_0805_2012Metric,CR0805-FX-5601ELF,1
R501,147K,R_0805_2012Metric,CR0805-FX-1473ELF,1
R502,"14,7K",R_0805_2012Metric,CR0805-FX-1472ELF,1
R503,100k,R_0805_2012Metric,CR0805-FX-1003ELF,1
R509,348k,R_0805_2012Metric,CR0805-FX-3483ELF,1
R510,240m,R_1210_3225Metric,RCWE1210R240FKEA ,1
R513,10R,R_2010_5025Metric,CRGH2010J10R,1
R517,38.3k,R_0805_2012Metric,CRCW080538K3FKEA,1
R519,1R,R_0805_2012Metric,CR0805-J/-1R0ELF,1
R520,47k,R_0805_2012Metric,CR0805-FX-4702ELF,1
"L201, L301",33uH,SRP1510CA-330M,SRP1510CA-330M,2
L501,100uH,L_0805_2012Metric,LBR2012T101K,1
L502,10uH,L_1210_3225Metric,CBC3225T100M,1
L503,22uH,L_1210_3225Metric,CBC3225T220KR,1
"D202, D203, D302, D303, D403","PMEG2010AEJ,115",D_SOD-323_HandSoldering,"PMEG2010AEJ,115",5
"D502, D503, D505, D506",BAS20HT1G,D_SOD-323_HandSoldering,BAS20HT1G,4
"D201, D301, D507",STTH4R02U,D_SMB,PU3DBH,3
"D205, D305",RB168MM150TR,D_SOD-123,RB168MM150TR,2
D501,6.2V,D_SOD-123,BZT52C6V2-TP,1
D504,SURA8140T3G,D_SMA,SURA8140T3G,1
"U102, U103, U204, U205, U304, U305, U506",MCP6486UT-E/LT ,SOT-353_SC-70-5_Handsoldering,MCP6486UT-E/LT ,7
"U206, U207, U306, U307, U502",HMHA2801A ,SO-4_4.4x2.3mm_P1.27mm,FODM217A,5
"U201, U301",AMC1100DUB,SOP-8_6.62x9.15mm_P2.54mm,AMC1100DUB,2
"U202, U302",ACS730xLCTR-20AB,SOIC-8_3.9x4.9mm_P1.27mm,ACS730xLCTR-20AB,2
"U203, U303",UCC21222DR,SOIC-16_3.9x9.9mm_P1.27mm,UCC21222DR,2
U101,AMC1311,SOIC-8_7.5x5.85mm_P1.27mm,AMC1311DWV,1
U104,ACS723LLCTR-20AB,SOIC-8_3.9x4.9mm_P1.27mm,ACS723LLCTR-20AB,1
U401,OwnTech_SPIN,OwnTech_SPINTHT,,1
U402,TCAN334GDR,SOIC-8_3.9x4.9mm_P1.27mm,TCAN334GDR,1
U405,LTC2850xS8,SOIC-8_3.9x4.9mm_P1.27mm,LTC2850CS8#PBF,1
U406,MCP6487T-E/SN,SOIC-8_3.9x4.9mm_P1.27mm,MCP6487T-E/SN,1
U501,NCP12700,MSOP-10_3x3mm_P0.5mm,NCP12700ADNR2G ,1
U503,"TL431MFDT,215",SOT-23_copy,"TL431MFDT,215",1
U504,MCP1799T-5002H/TT,SOT-23_copy,MCP1799T-5002H/TT,1
U505,AZ1117CH-5.0TRG1,SOT-223-3_TabPin2,AZ1117CH-5.0TRG1,1
"F101, F102, F103",8A,Fuse_holder_omni_blok,0154008.DR,3
"F501, F502",0ZCH0035FF2G,Fuse_1210_3225Metric,0ZCH0035FF2G,2
"TP101, TP102, TP103, TP104, TP105, TP106, TP107, TP201, TP202, TP203, TP204, TP205, TP206, TP207, TP208, TP209, TP301, TP302, TP303, TP304, TP305, TP306, TP307, TP308, TP309",TestPoint,TestPoint_THTPad_D1.5mm_Drill0.7mm,,25
"H101, H102, H103, H104, H105, H106, H107, H108, H109",M2.5,MountingHole_2.7mm_M2.5_DIN965_Pad_TopOnly,,9
"TP210, TP211, TP212, TP213, TP310, TP311, TP312, TP313",TestPoint,TestPoint_Pad_D1.0mm,,8
"JP404, JP405, JP406, JP411, JP412, JP414, JP417",Jumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,,7
"Q201, Q202, Q203, Q301, Q302, Q303",IPD200N15N3,TO-252-2,IPD200N15N3,6
"JP401, JP403",Jumper,PinHeader_1x02_P2.54mm_Vertical,,2
"JP408, JP409",SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,2
GND501,GND,TestPoint_THTPad_D2.0mm_Drill1.0mm,,1
JP410,Jumper_2_Bridged,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
JP501,Jumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
JP502,SolderJumper,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,,1
N101,Housing_Pad,Guard_ring,,1
NTC501,100kNTC,R_0805_2012Metric,ABNTC-0805-104J-4250F-T,1
PS501,TBA 1-0512,Converter_DCDC_Murata_MEE1SxxxxSC_THT,TBA 1-0512,1
PS502,TEA 1-0505,Converter_DCDC_Murata_MEE1SxxxxSC_THT,TEA 1-0505,1
Q501,60V N channel,SOT-23_copy,NX7002AKVL,1
Q502,"TK13P25D,RQ",TO-252-2,"TK13P25D,RQ",1
T501,PA2467NL,PA2467NL,PA2467NL,1
VOUT_GND501,GND2,TestPoint_THTPad_D2.0mm_Drill1.0mm,,1
"J403, J404",RJE721881411,ethernet_RJE721881411,RJE721881411,2
"J501, J502",B2B-EH-A(LF)(SN),JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,B2B-EH-A(LF)(SN),2
J101,Wago 6 contacts,Harting - 15contacts and Wago,,1
J505,Header_2_54_01x03,PinHeader_1x03_P2.54mm_Vertical,,1
